科幻,蜘蛛侠：平行宇宙,8.4,2
科幻,盗梦空间,8.4,3
科幻,星际穿越,8.462,4
科幻,蜘蛛侠：纵横宇宙,8.3,5
科幻,蜘蛛侠：纵横宇宙,8.3,6
科幻,新世纪福音战士剧场版：Air / 真心为你,8.3,7
科幻,星球大战5：帝国反击战,8.394,8
科幻,回到未来,8.322,9
科幻,荒野机器人,8.319,10
纪录,Zgodba gospoda P.F.,9.5,1
纪录,Medicating Normal,9.5,2
纪录,John Mayer: Someday I'll Fly,9.5,3
纪录,The Nation's Favourite Beatles Number One,9.3,4
纪录,Woodstock Diary,9.2,5
纪录,约翰·威廉姆斯：维也纳现场音乐会,9.1,6
纪录,Tigre Gente,9.0,7
纪录,TMZ Presents | Famous & Naked,9.0,8
纪录,Marvin Hamlisch: What He Did For Love,9.0,9
纪录,Enjoi - Bag of Suck,9.0,10
西部,黄金三镖客,8.462,1
西部,被解救的姜戈,8.2,2
西部,西部往事,8.278,3
西部,Shooting High,8.0,4
西部,Maskeli Beşler,8.0,5
西部,Bulletproof,8.0,6
西部,Bulletproof,8.0,7
西部,老无所依,7.947,8
西部,与狼共舞,7.8,9
西部,Profetul  aurul și ardelenii,7.8,10
音乐,John Mayer: Someday I'll Fly,9.5,1
音乐,The Nation's Favourite Beatles Number One,9.3,2
音乐,Woodstock Diary,9.2,3
音乐,约翰·威廉姆斯：维也纳现场音乐会,9.1,4
音乐,Между нами лето,9.0,5
音乐,Между нами лето,9.0,6
音乐,Marvin Hamlisch: What He Did For Love,9.0,7
音乐,Light of the World,9.0,8
音乐,魔法坏女巫：奇幻之夜,8.944,9
音乐,萨姆·史密斯：Love Goes - 阿比路录音室现场,8.5,10
